issue,agent_done,agent_self_report,uni_decision,human_review,claims_total,claims_verified,baseline_decision,brief_mode,contract_visible,agent_seconds,agent_cost_usd,diff_lines
t01-upper-clamp,1,DONE,Accepted,1,4,4,EvidenceRequired,,,,,29
t02-upper-clamp-partial,0,FAILED,Rejected,0,4,2,EvidenceRequired,,,,,29
t03-int-sum-offbyone,1,DONE,Accepted,1,3,3,EvidenceRequired,,,,,29
t04-first-word-empty,1,DONE,EvidenceRequired,1,3,2,EvidenceRequired,,,,,46
t05-async-order,1,DONE,Accepted,1,3,3,Rejected,,,,,31
t06-greeting,1,DONE,Accepted,1,2,2,EvidenceRequired,,,,,22
t07-layered-cancel,1,DONE,Accepted,1,4,4,Rejected,,,0,,
t04-first-word-empty,1,DONE,Accepted,1,3,3,EvidenceRequired,1,,,,30
t02-upper-clamp-partial,1,DONE,Accepted,1,4,4,EvidenceRequired,1,,,,29
t07-layered-cancel,1,DONE,Accepted,1,4,4,Rejected,1,,,,63
t08-port-contract,1,DONE,EvidenceRequired,1,4,2,EvidenceRequired,0,1,,,57
t08-port-contract,1,DONE,EvidenceRequired,1,4,2,EvidenceRequired,0,0,,,70
t09-api-freeze,1,DONE,Accepted,1,3,3,EvidenceRequired,0,1,,,39
t09-api-freeze,1,DONE,Rejected,0,3,1,EvidenceRequired,0,1,,,11
t10-ledger-invariant,1,DONE,Accepted,1,4,4,Rejected,0,1,,,120
