category,variant,ground_truth_satisfied,note,b0_green,b1_green,uni_decision,uni_accepts,uni_stale_recorded,uni_boundary_named,error
artifact_breaks_claim,1,False,source edited so the claim no longer holds,False,True,EvidenceRequired,False,True,False,
artifact_breaks_claim,2,False,source edited so the claim no longer holds,False,True,EvidenceRequired,False,True,False,
artifact_breaks_claim,3,False,source edited so the claim no longer holds,False,True,EvidenceRequired,False,True,False,
artifact_breaks_claim,4,False,source edited so the claim no longer holds,False,True,EvidenceRequired,False,True,False,
artifact_breaks_claim,5,False,source edited so the claim no longer holds,False,True,EvidenceRequired,False,True,False,
artifact_breaks_claim,6,False,source edited so the claim no longer holds,False,True,EvidenceRequired,False,True,False,
artifact_breaks_claim,7,False,source edited so the claim no longer holds,False,True,EvidenceRequired,False,True,False,
artifact_breaks_claim,8,False,source edited so the claim no longer holds,False,True,EvidenceRequired,False,True,False,
artifact_breaks_claim,9,False,source edited so the claim no longer holds,False,True,EvidenceRequired,False,True,False,
artifact_breaks_claim,10,False,source edited so the claim no longer holds,False,True,EvidenceRequired,False,True,False,
artifact_keeps_claim,1,True,"source edited, claim still holds",True,True,Accepted,True,True,False,
artifact_keeps_claim,2,True,"source edited, claim still holds",True,True,Accepted,True,True,False,
artifact_keeps_claim,3,True,"source edited, claim still holds",True,True,Accepted,True,True,False,
artifact_keeps_claim,4,True,"source edited, claim still holds",True,True,Accepted,True,True,False,
artifact_keeps_claim,5,True,"source edited, claim still holds",True,True,Accepted,True,True,False,
artifact_keeps_claim,6,True,"source edited, claim still holds",True,True,Accepted,True,True,False,
artifact_keeps_claim,7,True,"source edited, claim still holds",True,True,Accepted,True,True,False,
artifact_keeps_claim,8,True,"source edited, claim still holds",True,True,Accepted,True,True,False,
artifact_keeps_claim,9,True,"source edited, claim still holds",True,True,Accepted,True,True,False,
artifact_keeps_claim,10,True,"source edited, claim still holds",True,True,Accepted,True,True,False,
subject_breaks_claim,1,False,the watched data file no longer says CONFIRMED,False,True,EvidenceRequired,False,True,False,
subject_breaks_claim,2,False,the watched data file no longer says CONFIRMED,False,True,EvidenceRequired,False,True,False,
subject_breaks_claim,3,False,the watched data file no longer says CONFIRMED,False,True,EvidenceRequired,False,True,False,
subject_breaks_claim,4,False,the watched data file no longer says CONFIRMED,False,True,EvidenceRequired,False,True,False,
subject_breaks_claim,5,False,the watched data file no longer says CONFIRMED,False,True,EvidenceRequired,False,True,False,
subject_breaks_claim,6,False,the watched data file no longer says CONFIRMED,False,True,EvidenceRequired,False,True,False,
subject_breaks_claim,7,False,the watched data file no longer says CONFIRMED,False,True,EvidenceRequired,False,True,False,
